date,Bangladesh,Brazil,Indonesia,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar
22/01/20,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/01/20,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/01/20,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/01/20,,,,3,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
26/01/20,,,,4,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
27/01/20,,,,4,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
28/01/20,,,,4,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
29/01/20,,,,7,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
30/01/20,,,,7,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,
31/01/20,,,,8,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,
01/02/20,,,,8,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,
02/02/20,,,,8,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,
03/02/20,,,,8,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,
04/02/20,,,,8,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,
05/02/20,,,,10,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,
06/02/20,,,,12,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
07/02/20,,,,14,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
08/02/20,,,,15,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
09/02/20,,,,16,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
10/02/20,,,,18,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
11/02/20,,,,18,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
12/02/20,,,,18,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
13/02/20,,,,18,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
14/02/20,,,,19,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
15/02/20,,,,21,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
16/02/20,,,,22,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
17/02/20,,,,22,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
18/02/20,,,,22,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
19/02/20,,,,22,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
20/02/20,,,,22,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
21/02/20,,,,22,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
22/02/20,,,,22,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
23/02/20,,,,22,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
24/02/20,,,,22,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,
25/02/20,,,,22,,,,,,6,,,,,,,,,,1,,,,,,,,,2,,,,,,,3,,,,
26/02/20,,1,,22,,,,,,6,,,,,,,,,,1,,,,,,,,,4,,,,,,,3,,,,
27/02/20,,1,,22,,,,,,6,,,,,,,,,,1,,,,,,,,1,4,2,,,,,,3,,,,
28/02/20,,1,,23,,,,,,11,,,,,,,,,,1,1,,1,,,1,,4,6,2,,,,,,3,,,,
29/02/20,,1,,25,,,,,,14,,1,,,,,,,,1,2,,1,,,1,,6,6,2,,,,,,3,,,,
01/03/20,,2,,25,,,,,,15,,1,,,,,,,,1,7,,1,,,1,,15,6,4,,,,,,3,,,,1
02/03/20,,2,2,29,,,,,,15,,1,,,,,,,,1,13,,1,,,1,,19,6,4,,,,,,3,,,,3
03/03/20,,2,,,,,,,,16,,,,,,1,,,,,18,,,,,,,25,7,,,,,,,,,2,,
04/03/20,,2,,36,,,,,,19,,,,,,,,,,,28,,2,,,,,33,,5,,,,,,,1,4,,8
05/03/20,,3,,50,,,,,,22,,,,,,,,,,,38,,3,,,,,56,15,,,,,,,,,5,,
06/03/20,,8,,50,,,,,,24,,,,,,2,,,,,82,,4,,,,,86,16,,7,,,,,,,9,,
07/03/20,,13,4,83,,,1,,,24,,,,,,,,,,,128,,5,,,,,113,,6,16,,,,1,5,5,13,,11
08/03/20,,13,,93,2,,1,,,25,1,,,,,,,,,,188,,,,,,,147,,,19,,,1,,6,6,21,,12
09/03/20,3,25,6,99,4,,3,,,29,,,,,,,,,,,265,,,,,,,169,,,,,,,7,10,11,30,,15
10/03/20,,25,,117,,,3,,,31,,,1,,,,,,,,321,,,,,2,,192,18,16,20,1,,,9,33,17,39,,18
11/03/20,,34,19,129,6,,5,,,42,3,,,,,,,,,,382,,,,,,,277,18,16,29,7,,5,11,33,22,41,,24
12/03/20,,52,34,149,8,,6,,,70,4,,,,,5,,,,,503,,,,,,,489,,20,30,14,,,17,49,31,59,,262
